id,category,value,text
0,toys,25.21,scala metrics map shuffle data plan scala python plan
1,toys,52.98,python lake elt data shuffle aggregate data columnar data etl
2,toys,72.58,partition data etl aggregate spark lake elt warehouse python scala elt aggregate
3,electronics,57.98,reduce map aggregate ui metrics plan
4,electronics,65.55,row join filter filter scala
5,electronics,16.22,warehouse plan reduce scala elt ui plan lake aggregate elt elt
6,electronics,5.12,metrics scala partition spark python python
7,toys,1.97,aggregate warehouse python filter elt join spark ui etl shuffle plan ui
8,grocery,20.06,metrics warehouse elt partition lake metrics data elt
9,toys,16.11,aggregate data plan shuffle plan partition etl
10,books,22.62,ui map reduce python elt etl row join spark metrics
11,books,97.45,map map map aggregate elt columnar data join join filter
12,grocery,90.69,lake partition python row aggregate join lake partition row filter
13,toys,81.38,reduce shuffle elt data columnar ui
14,electronics,90.54,filter plan reduce partition lake partition
15,grocery,51.96,elt metrics shuffle row data
16,books,89.34,plan shuffle scala plan columnar row filter
17,toys,10.29,warehouse ui etl filter warehouse filter columnar partition lake data columnar aggregate
18,toys,83.97,partition ui map elt row lake etl row data ui
19,books,65.99,shuffle python partition etl filter
20,grocery,27.11,spark ui data warehouse warehouse row reduce warehouse join
21,grocery,24.55,plan ui reduce shuffle plan lake lake data
22,toys,18.46,python lake map elt spark join shuffle lake filter map
23,toys,7.42,python etl join warehouse map plan warehouse elt
24,toys,80.75,python data metrics aggregate python join
25,books,15.52,etl ui partition metrics aggregate python reduce ui row spark columnar join
26,electronics,3.99,reduce python filter join python filter join row shuffle python data etl
27,grocery,34.13,metrics aggregate warehouse join metrics
28,books,62.83,data columnar partition join etl etl reduce
29,grocery,87.35,partition elt etl aggregate scala plan elt python shuffle filter
30,books,6.06,aggregate python map elt shuffle aggregate join warehouse join
31,electronics,6.55,reduce spark metrics columnar filter metrics columnar shuffle
32,grocery,91.77,scala columnar partition columnar python filter row data scala warehouse shuffle plan
33,electronics,87.05,filter filter join aggregate scala row metrics reduce
34,toys,33.09,row spark etl row warehouse lake columnar row lake filter scala
35,toys,16.94,spark plan partition python join
36,books,2.05,shuffle reduce elt ui data
37,electronics,88.63,aggregate reduce ui shuffle ui map
38,books,56.56,row elt aggregate lake data join filter spark reduce
39,toys,27.59,lake filter reduce map etl partition partition warehouse spark warehouse
40,toys,53.95,row spark aggregate row ui data partition join map map
41,books,71.12,columnar shuffle python plan metrics
42,grocery,60.4,filter metrics filter join scala row
43,toys,87.24,metrics row elt ui join partition
44,toys,99.14,aggregate elt aggregate ui data spark
45,books,6.18,columnar elt lake metrics map aggregate scala aggregate filter filter map
46,electronics,91.47,lake lake scala shuffle warehouse reduce metrics python
