order_item_id,order_id,product_id,quantity,unit_price
1,1,50,1,66.21
2,2,15,3,20.07
3,2,18,4,8.21
4,2,36,3,111.77
5,2,51,1,232.99
6,3,55,4,238.15
7,3,14,3,175.23
8,3,44,4,7.41
9,3,36,3,111.77
10,4,28,1,68.03
11,4,36,1,111.77
12,4,10,2,12.77
13,4,45,2,142.51
14,5,40,2,4.46
15,5,31,4,217.08
16,5,33,3,155.68
17,5,27,3,72.8
18,6,14,1,175.23
19,6,32,1,120.58
20,6,12,2,98.2
21,7,32,2,120.58
22,7,34,3,6.47
23,8,58,1,59.62
24,8,47,3,141.48
25,8,55,1,238.15
26,8,12,2,98.2
27,8,1,3,97.32
28,9,21,2,17.12
29,9,17,2,23.49
30,9,29,1,244.63
31,9,26,2,14.81
32,10,15,3,20.07
33,10,51,2,232.99
34,10,25,3,158.39
35,10,26,3,14.81
36,11,50,1,66.21
37,12,41,4,170.68
38,12,24,2,73.44
39,12,33,1,155.68
40,12,54,3,227.97
41,12,25,2,158.39
42,13,49,2,24.21
43,13,5,3,160.07
44,13,53,4,169.03
45,14,43,4,95.07
46,14,49,4,24.21
47,14,37,2,118.31
48,15,56,2,188.39
49,16,60,4,164.61
50,16,27,4,72.8
51,16,57,4,182.43
52,16,53,1,169.03
53,16,44,1,7.41
54,17,39,3,185.42
55,17,43,4,95.07
56,17,28,3,68.03
57,17,22,3,31.28
58,18,39,1,185.42
59,18,6,4,243.73
60,18,1,2,97.32
61,18,50,2,66.21
62,19,37,4,118.31
63,19,23,2,185.36
64,19,4,1,67.12
65,20,27,2,72.8
66,20,59,1,146.32
67,21,13,3,165.77
68,21,29,2,244.63
69,21,27,2,72.8
70,21,12,3,98.2
71,22,41,3,170.68
72,22,58,2,59.62
73,23,32,3,120.58
74,23,15,2,20.07
75,24,38,4,24.22
76,24,4,3,67.12
77,24,43,4,95.07
78,24,15,4,20.07
79,24,5,4,160.07
80,25,54,3,227.97
81,25,18,3,8.21
82,26,4,2,67.12
83,26,33,2,155.68
84,27,16,4,52.83
85,27,45,1,142.51
86,27,52,3,221.51
87,27,35,2,122.72
88,27,3,3,140.3
89,28,56,4,188.39
90,28,2,3,212.25
91,29,14,1,175.23
92,29,33,3,155.68
93,29,60,1,164.61
94,30,17,2,23.49
95,30,6,2,243.73
96,30,4,4,67.12
97,31,51,4,232.99
98,32,54,4,227.97
99,32,60,1,164.61
100,32,15,3,20.07
101,32,4,3,67.12
102,32,6,2,243.73
103,33,51,4,232.99
104,33,12,1,98.2
105,33,44,4,7.41
106,33,31,4,217.08
107,33,46,1,53.29
108,34,53,3,169.03
109,34,17,4,23.49
110,34,24,2,73.44
111,34,60,1,164.61
112,35,7,3,62.79
113,36,28,4,68.03
114,36,16,4,52.83
115,36,25,1,158.39
116,36,37,4,118.31
117,36,27,2,72.8
118,37,7,1,62.79
119,37,2,2,212.25
120,37,24,2,73.44
121,37,59,2,146.32
122,37,9,2,163.02
123,38,45,4,142.51
124,38,57,1,182.43
125,38,49,1,24.21
126,39,55,2,238.15
127,40,11,1,34.64
128,40,55,2,238.15
129,41,18,3,8.21
130,41,30,4,208.8
131,41,38,3,24.22
132,41,50,2,66.21
133,41,5,3,160.07
134,42,17,4,23.49
135,43,52,2,221.51
136,44,29,4,244.63
137,44,51,4,232.99
138,44,42,3,81.02
139,44,37,1,118.31
140,45,13,4,165.77
141,45,51,3,232.99
142,45,2,4,212.25
143,45,46,3,53.29
144,45,10,1,12.77
145,46,50,4,66.21
146,47,1,2,97.32
147,47,51,3,232.99
