prev_title,curr_title,type,n,ts
ETL,PySpark,link,431,2025-06-01T02:57:00
Data_engineering,Broadcast_join,link,347,2025-06-15T13:40:00
Python_(programming_language),MapReduce,link,39,2025-06-07T15:14:00
ETL,Data_warehouse,link,401,2025-06-07T04:59:00
Python_(programming_language),Dataframe,link,155,2025-06-06T06:40:00
Apache_Spark,Data_warehouse,link,168,2025-06-06T18:03:00
Python_(programming_language),Lakehouse,link,19,2025-06-15T03:33:00
Search,Partition_(databases),other,295,2025-06-05T06:03:00
Python_(programming_language),Lakehouse,other,281,2025-06-13T02:03:00
Search,Category:Big_data,link,118,2025-06-01T11:25:00
Main_Page,Partition_(databases),external,146,2025-06-04T01:55:00
ETL,RDD,external,255,2025-06-05T16:31:00
ELT,MapReduce,link,229,2025-06-27T00:40:00
ETL,Feature_store,link,230,2025-06-15T14:43:00
Search,Partition_(databases),other,404,2025-06-04T04:14:00
Search,Broadcast_join,other,433,2025-06-21T22:56:00
Python_(programming_language),Feature_store,link,245,2025-06-27T04:45:00
ELT,Apache_Spark,link,250,2025-06-22T23:29:00
Category:Machine_learning,MapReduce,external,448,2025-06-05T03:59:00
Data_engineering,Partition_(databases),external,38,2025-06-06T22:35:00
Python_(programming_language),Broadcast_join,link,48,2025-06-05T22:27:00
Data_engineering,Feature_store,link,129,2025-06-19T10:12:00
Data_engineering,Feature_store,link,257,2025-06-23T21:30:00
Category:Machine_learning,Dataframe,link,199,2025-06-07T21:25:00
ELT,Broadcast_join,link,134,2025-06-11T09:06:00
Search,RDD,link,31,2025-06-01T15:55:00
Main_Page,Broadcast_join,link,297,2025-06-12T05:12:00
ETL,MapReduce,link,133,2025-06-11T12:40:00
ETL,SQL,link,393,2025-06-10T00:43:00
Python_(programming_language),Broadcast_join,link,373,2025-06-22T23:07:00
Search,Data_warehouse,external,66,2025-06-06T13:15:00
Apache_Spark,Partition_(databases),link,111,2025-06-02T05:01:00
Search,Feature_store,link,319,2025-06-23T23:00:00
Apache_Spark,MapReduce,link,166,2025-06-22T18:23:00
ELT,Data_warehouse,link,246,2025-06-06T05:01:00
Python_(programming_language),MapReduce,link,307,2025-06-23T13:44:00
Python_(programming_language),Category:Big_data,link,291,2025-06-04T13:50:00
Python_(programming_language),Category:Big_data,link,158,2025-06-12T10:13:00
ELT,RDD,link,4,2025-06-04T15:04:00
Apache_Spark,RDD,link,471,2025-06-18T02:26:00
ETL,Feature_store,link,179,2025-06-16T11:01:00
Apache_Spark,SQL,link,403,2025-06-05T17:11:00
Data_engineering,RDD,link,431,2025-06-20T20:43:00
Apache_Spark,PySpark,external,54,2025-06-02T19:00:00
Data_engineering,Partition_(databases),link,345,2025-06-13T08:57:00
Search,RDD,link,308,2025-06-26T16:25:00
Python_(programming_language),Broadcast_join,external,236,2025-06-28T13:33:00
Data_engineering,Apache_Spark,external,178,2025-06-09T01:14:00
ELT,MapReduce,link,125,2025-06-05T03:26:00
Apache_Spark,Apache_Spark,link,176,2025-06-21T08:50:00
Search,Lakehouse,link,47,2025-06-07T23:09:00
Python_(programming_language),Feature_store,link,379,2025-06-17T11:22:00
Category:Machine_learning,Partition_(databases),external,484,2025-06-24T09:16:00
Main_Page,Data_warehouse,link,370,2025-06-21T06:01:00
Apache_Spark,Data_warehouse,external,474,2025-06-19T18:34:00
ELT,MapReduce,other,83,2025-06-25T17:25:00
Category:Machine_learning,Category:Big_data,link,246,2025-06-14T02:48:00
Data_engineering,Category:Big_data,link,202,2025-06-26T08:55:00
ELT,Apache_Spark,link,87,2025-06-03T18:29:00
Python_(programming_language),MapReduce,link,141,2025-06-28T14:52:00
ETL,Broadcast_join,external,464,2025-06-24T19:19:00
Data_engineering,MapReduce,external,158,2025-06-07T10:13:00
ETL,Feature_store,link,135,2025-06-27T02:55:00
ELT,Apache_Spark,external,457,2025-06-07T00:32:00
Data_engineering,MapReduce,link,131,2025-06-26T03:27:00
Data_engineering,MapReduce,link,379,2025-06-21T07:57:00
Python_(programming_language),RDD,link,165,2025-06-24T18:18:00
Data_engineering,Broadcast_join,link,216,2025-06-21T23:16:00
Search,RDD,external,91,2025-06-02T00:04:00
ETL,RDD,link,14,2025-06-22T14:44:00
Main_Page,Lakehouse,other,30,2025-06-03T03:50:00
Apache_Spark,Broadcast_join,link,153,2025-06-03T02:16:00
ELT,Data_warehouse,external,389,2025-06-17T22:00:00
Main_Page,RDD,link,439,2025-06-14T21:03:00
Python_(programming_language),MapReduce,external,500,2025-06-21T09:21:00
Category:Machine_learning,Feature_store,link,444,2025-06-23T06:20:00
Python_(programming_language),Feature_store,link,56,2025-06-20T17:22:00
Search,Feature_store,external,455,2025-06-26T09:39:00
Data_engineering,Apache_Spark,link,49,2025-06-28T07:55:00
ETL,Apache_Spark,link,445,2025-06-08T23:42:00
ETL,Partition_(databases),link,269,2025-06-15T16:14:00
Python_(programming_language),Broadcast_join,link,340,2025-06-24T21:17:00
Search,Category:Big_data,external,84,2025-06-05T21:52:00
Python_(programming_language),Partition_(databases),link,159,2025-06-04T07:25:00
Python_(programming_language),Apache_Spark,link,135,2025-06-15T06:26:00
Python_(programming_language),Data_warehouse,link,387,2025-06-06T16:16:00
ETL,Dataframe,external,287,2025-06-19T07:28:00
Data_engineering,Dataframe,external,179,2025-06-07T16:49:00
Apache_Spark,Lakehouse,link,425,2025-06-27T15:00:00
ETL,Dataframe,external,441,2025-06-20T14:03:00
Category:Machine_learning,Partition_(databases),link,54,2025-06-07T16:32:00
Main_Page,SQL,link,221,2025-06-11T10:46:00
Python_(programming_language),RDD,external,257,2025-06-23T14:44:00
Category:Machine_learning,Lakehouse,other,74,2025-06-12T22:11:00
Category:Machine_learning,Data_warehouse,other,233,2025-06-27T00:05:00
Data_engineering,PySpark,link,302,2025-06-07T04:47:00
Category:Machine_learning,Apache_Spark,link,288,2025-06-23T04:49:00
